task_id,method,category,cvsr,object_f1,critical_recall,relation_f1,binding_f1,repair_success,fatal_violation,evidence_precision,replay_success,llm_calls,tool_calls,repair_rounds,tokens,cost_usd,latency_ms
TN13-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,18697,0.0042537600000000005,176918.9
TN13-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,17869,0.00402192,163211.0
TN13-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,17595,0.0039452,133890.9
TN13-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,18933,0.00431984,209131.5
TN13-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,18363,0.00416024,193162.0
TN13-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,8252,0.0018172,77077.8
TN13-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,7354,0.00156576,45962.6
TN13-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,7434,0.00158816,59462.1
TN13-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,7564,0.0016245600000000002,84303.1
TN13-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,8109,0.0017771599999999999,64400.5
TN13-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1897,0.00043358,17318.4
TN13-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1897,0.00043358,76482.7
TN13-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1897,0.00043358,15919.4
TN13-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1897,0.00043358,4519.6
TN13-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1897,0.00043358,11701.2
TN13-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2508,0.0003731,6429.0
TN13-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2516,0.00037254,5702.9
TN13-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2508,0.0003731,52513.0
TN13-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2508,0.0003731,8962.5
TN13-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2504,0.00037646,3784.0
